Nadmiarowosc; BER;Iloœæ b³êdów wytworzonych na medium;p;r
3;3.312320e+01;6195;1.000000e-05;8.000000e-04;
3;3.417172e+01;17450;3.000000e-05;8.000000e-04;
3;3.663347e+01;44339;9.000000e-05;8.000000e-04;
3;4.155911e+01;110313;2.700000e-04;8.000000e-04;
3;4.839659e+01;189309;8.100000e-04;8.000000e-04;
3;5.839887e+01;313194;2.430000e-03;8.000000e-04;
3;6.368208e+01;376709;7.290000e-03;8.000000e-04;
3;6.594367e+01;405273;2.187000e-02;8.000000e-04;
3;6.690244e+01;415565;6.561000e-02;8.000000e-04;
3;6.720874e+01;419534;1.968300e-01;8.000000e-04;
Nadmiarowosc; BER;Iloœæ b³êdów wytworzonych na medium;p;r
3;3.317093e+01;6529;1.000000e-05;8.000000e-04;
3;3.417315e+01;16456;3.000000e-05;8.000000e-04;
3;3.466821e+01;24697;9.000000e-05;8.000000e-04;
3;4.166738e+01;105947;2.700000e-04;8.000000e-04;
3;4.859105e+01;194670;8.100000e-04;8.000000e-04;
3;5.770792e+01;304763;2.430000e-03;8.000000e-04;
3;6.390646e+01;378756;7.290000e-03;8.000000e-04;
3;6.613243e+01;406830;2.187000e-02;8.000000e-04;
3;6.688392e+01;416109;6.561000e-02;8.000000e-04;
3;6.717882e+01;419426;1.968300e-01;8.000000e-04;
