Nadmiarowosc; BER;Iloœæ b³êdów wytworzonych na medium;p;r
3;6.727569e+01;420539;5.904900e-01;8.000000e-04;
3;6.721800e+01;419964;5.904900e-01;1.600000e-03;
3;6.711471e+01;418865;5.904900e-01;3.200000e-03;
3;6.689389e+01;416609;5.904900e-01;6.400000e-03;
3;6.650640e+01;412185;5.904900e-01;1.280000e-02;
3;6.578269e+01;403359;5.904900e-01;2.560000e-02;
3;6.447987e+01;387480;5.904900e-01;5.120000e-02;
3;6.213280e+01;358531;5.904900e-01;1.024000e-01;
3;5.803345e+01;312816;5.904900e-01;2.048000e-01;
3;5.277944e+01;248921;5.904900e-01;4.096000e-01;
